Index,code,comment,label
1,"public ActivationDescriptor()
{
_desc = new cudnnActivationDescriptor();
res = CudaDNNNativeMethods.cudnnCreateActivationDescriptor(ref _desc);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}"", DateTime.Now, ""cudnnCreateTensorDescriptor"", res));
if (res != cudnnStatus.Success) throw new CudaDNNException(res);
}",An opaque structure holding the description of an activation operation.,1
2,"public void Dispose()
{
Dispose(true);
GC.SuppressFinalize(this);
}",Dispose,1
3,"~ActivationDescriptor()
{
Dispose(false);
}",For dispose,1
4,"public struct BNConstants
{
/// <summary>
/// MinEpsilon = 1e-5
/// </summary>
public const double MinEpsilon = 1e-5;
}",Constant values for BN,0
5,"public struct bsric02Info
{
/// <summary>
/// /// </summary>
public IntPtr Handle;
}",Opaque structure holding the sparse triangular solve information,0
6,"public struct bsrilu02Info
{
/// <summary>
/// /// </summary>
public IntPtr Handle;
}",Opaque structure holding the sparse triangular solve information,0
7,"public struct bsrsm2Info
{
/// <summary>
/// /// </summary>
public IntPtr Handle;
}",Opaque structure holding the sparse triangular solve information,0
8,"public struct bsrsv2Info
{
/// <summary>
/// /// </summary>
public IntPtr Handle;
}",Opaque structure holding the sparse triangular solve information,0
9,"public void Dispose()
{
Dispose(true);
GC.SuppressFinalize(this);
}",Dispose,1
10,"public void Dispose()
{
Dispose(true);
GC.SuppressFinalize(this);
}",Dispose,1
11,"~ConvolutionDescriptor()
{
Dispose(false);
}",For dispose,1
12,"~ConvolutionDescriptor()
{
Dispose(false);
}",For dispose,1
13,"public struct csrgemm2Info
{
/// <summary>
/// /// </summary>
public IntPtr Handle;
}",Opaque structure holding sparse gemm information,0
14,"public struct csric02Info
{
/// <summary>
/// /// </summary>
public IntPtr Handle;
}",Opaque structure holding the sparse triangular solve information,0
15,"public struct csrilu02Info
{
/// <summary>
/// /// </summary>
public IntPtr Handle;
}",Opaque structure holding the sparse triangular solve information,0
16,"~CsrQrInfo()
{
Dispose(false);
}",For dispose,1
17,"~CsrQrInfo()
{
Dispose(false);
}",For dispose,1
18,"public struct csrsv2Info
{
/// <summary>
/// /// </summary>
public IntPtr Handle;
}",Opaque structure holding the sparse triangular solve information,0
19,"public struct csru2csrInfo
{
/// <summary>
/// /// </summary>
public IntPtr Handle;
}",Opaque structure holding the sorting information,0
20,"~CTCLossDescriptor()
{
Dispose(false);
}",For dispose,1
21,"public struct CUarray
{
/// <summary>
/// /// </summary>
public IntPtr Pointer;
}",CUDA array,0
22,"public ActivationDescriptor()
{
_desc = new cudnnActivationDescriptor();
res = CudaDNNNativeMethods.cudnnCreateActivationDescriptor(ref _desc);
Debug.WriteLine(String.Format(""{0:G}, {1}: {2}"", DateTime.Now, ""cudnnCreateTensorDescriptor"", res));
if (res != cudnnStatus.Success) throw new CudaDNNException(res);
}",An opaque structure holding the description of an activation operation.,1
23,"public void Dispose()
{
Dispose(true);
GC.SuppressFinalize(this);
}",Dispose,1
24,"public void Dispose()
{
Dispose(true);
GC.SuppressFinalize(this);
}",Dispose,1
25,"~ActivationDescriptor()
{
Dispose(false);
}",For dispose,1
